=== ТУРНИР: SMART VS PRIMITIVE (ТОЧНОЕ ВРЕМЯ) ===

--- ПАРТИЯ #1 ---
Ход 39  | SMART(W): [0,1]->[0,0] | Осталось: 52 сек
Ход 40  | PRIM(B) : [3,4]->[2,5] | Осталось: 239 сек
Ход 41  | SMART(W): [0,6]->[2,5] ⚔️ Съел: [Шашка] | Осталось: 52 сек
Ход 42  | PRIM(B) : [3,2]->[2,1] | Осталось: 239 сек
Ход 43  | SMART(W): [0,0]->[0,1] | Осталось: 52 сек
Ход 44  | PRIM(B) : [2,1]->[1,2] | Осталось: 239 сек
Ход 45  | SMART(W): [0,1]->[0,0] | Осталось: 52 сек
Ход 46  | PRIM(B) : [1,2]->[0,1] | Осталось: 239 сек
Ход 47  | SMART(W): [0,0]->[0,1] ⚔️ Съел: [Дамка] | Осталось: 52 сек

ИТОГ ПАРТИИ: Шахматы уничтожили все шашки!
==================================

--- ПАРТИЯ #3 ---
Ход 1   | SMART(W): [1,4]->[2,4] | Осталось: 59 сек
Ход 2   | PRIM(B) : [5,0]->[4,1] | Осталось: 240 сек
Ход 3   | SMART(W): [1,6]->[2,6] | Осталось: 59 сек
Ход 4   | PRIM(B) : [5,6]->[4,5] | Осталось: 240 сек
Ход 5   | SMART(W): [0,5]->[2,7] | Осталось: 59 сек
Ход 6   | PRIM(B) : [5,2]->[4,3] | Осталось: 240 сек
Ход 7   | SMART(W): [2,7]->[6,7] ⚔️ Съел: [Шашка] | Осталось: 58 сек
Ход 8   | PRIM(B) : [4,3]->[3,4] | Осталось: 240 сек
Ход 9   | SMART(W): [6,7]->[6,6] | Осталось: 57 сек
Ход 10  | PRIM(B) : [4,1]->[3,2] | Осталось: 240 сек
Ход 11  | SMART(W): [6,6]->[7,4] ⚔️ Съел: [Шашка] | Осталось: 57 сек
Ход 12  | PRIM(B) : [6,5]->[5,6] | Осталось: 240 сек
Ход 13  | SMART(W): [7,4]->[6,3] ⚔️ Съел: [Шашка] | Осталось: 56 сек
Ход 14  | PRIM(B) : [3,2]->[2,1] | Осталось: 240 сек
Ход 15  | SMART(W): [6,3]->[7,2] ⚔️ Съел: [Шашка] | Осталось: 55 сек
Ход 16  | PRIM(B) : [3,4]->[2,3] | Осталось: 240 сек
Ход 17  | SMART(W): [1,0]->[2,1] ⚔️ Съел: [Шашка] | Осталось: 55 сек
Ход 18  | PRIM(B) : [4,5]->[3,4] | Осталось: 240 сек
Ход 19  | SMART(W): [0,0]->[7,0] ⚔️ Съел: [Шашка] | Осталось: 55 сек
Ход 20  | PRIM(B) : [5,4]->[4,5] | Осталось: 240 сек
Ход 21  | SMART(W): [7,2]->[6,1] ⚔️ Съел: [Шашка] | Осталось: 54 сек
Ход 22  | PRIM(B) : [3,4]->[2,5] | Осталось: 240 сек
Ход 23  | SMART(W): [0,6]->[2,5] ⚔️ Съел: [Шашка] | Осталось: 54 сек
